epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.0601787269115448,4.285992622375488,0.001,0.12353723496198654,4.510113716125488
1,0.19264501333236694,3.491884469985962,0.001,0.22506648302078247,3.6899049282073975
2,0.31494584679603577,2.881439208984375,0.001,0.26708775758743286,3.4058759212493896
3,0.3950401842594147,2.4902849197387695,0.001,0.408843070268631,2.5929811000823975
4,0.4523785710334778,2.230803966522217,0.001,0.3031249940395355,3.1990058422088623
5,0.49460169672966003,2.0284392833709717,0.001,0.45910903811454773,2.2278308868408203
6,0.5305295586585999,1.873901128768921,0.001,0.47932180762290955,2.3244588375091553
7,0.5544149875640869,1.7452391386032104,0.001,0.4678191542625427,2.2922823429107666
8,0.5819546580314636,1.634581208229065,0.001,0.46768617630004883,2.2773561477661133
9,0.6035645604133606,1.5387309789657593,0.001,0.5292553305625916,2.0110275745391846
10,0.6248754262924194,1.4495153427124023,0.001,0.4664228856563568,2.254568338394165
11,0.6437445878982544,1.3724188804626465,0.001,0.3674202263355255,4.963176727294922
12,0.6583283543586731,1.3068445920944214,0.001,0.42985373735427856,2.599654197692871
13,0.6730449795722961,1.2456287145614624,0.001,0.6102393865585327,1.6347942352294922
14,0.6849212646484375,1.1922850608825684,0.001,0.5528590679168701,2.0352253913879395
15,0.6970633268356323,1.1423476934432983,0.001,0.6016622185707092,1.8723185062408447
16,0.7071456909179688,1.0982496738433838,0.001,0.6576462984085083,1.447968602180481
17,0.7170619964599609,1.0601123571395874,0.001,0.6537898778915405,1.5811575651168823
18,0.7254833579063416,1.0171661376953125,0.001,0.605053186416626,1.8139632940292358
19,0.7327420115470886,0.9936578869819641,0.001,0.6984707713127136,1.225606083869934
20,0.7429572939872742,0.9542650580406189,0.001,0.6121010780334473,1.7536523342132568
21,0.7490864396095276,0.9257121086120605,0.001,0.6337100863456726,1.7640944719314575
22,0.7575908303260803,0.8966654539108276,0.001,0.6460106372833252,1.6538963317871094
23,0.7659624218940735,0.8598289489746094,0.001,0.5185505151748657,3.090977430343628
24,0.7723240852355957,0.8335466980934143,0.001,0.6370345950126648,2.461153507232666
25,0.7784864902496338,0.8084008693695068,0.001,0.641090452671051,2.01833176612854
26,0.7828715443611145,0.7886391878128052,0.001,0.6418883204460144,2.14919114112854
27,0.7864095568656921,0.7770677208900452,0.001,0.6339095830917358,2.905921697616577
28,0.793734610080719,0.7467083930969238,0.001,0.7003324627876282,1.6665230989456177
29,0.798385500907898,0.7297706007957458,0.001,0.7414893507957458,1.2054723501205444
30,0.8047471642494202,0.7035799026489258,0.001,0.6970744729042053,2.098278760910034
31,0.8074048161506653,0.6922957897186279,0.001,0.7363032102584839,1.7853766679763794
32,0.8116902709007263,0.6770447492599487,0.001,0.6882978677749634,2.745863437652588
33,0.8123712539672852,0.6766171455383301,0.001,0.6445478796958923,2.028168201446533
34,0.8213739991188049,0.6377612352371216,0.001,0.7157579660415649,1.7591928243637085
35,0.8207095861434937,0.6358994841575623,0.001,0.7053191661834717,2.5873565673828125
36,0.8277024626731873,0.615066409111023,0.001,0.744813859462738,1.7252228260040283
37,0.8311241865158081,0.6017761826515198,0.001,0.7322473526000977,1.506225824356079
38,0.8347617983818054,0.5864273905754089,0.001,0.7222074270248413,1.6510701179504395
39,0.8319214582443237,0.5984286665916443,0.001,0.6022606492042542,2.4982316493988037
40,0.8594777584075928,0.486968070268631,0.0005,0.7935505509376526,1.1232651472091675
41,0.8811042308807373,0.410174697637558,0.0005,0.7786568999290466,1.166628360748291
42,0.8851072788238525,0.39335060119628906,0.0005,0.7841090559959412,1.198344111442566
43,0.8898245692253113,0.37798821926116943,0.0005,0.7509308457374573,1.4427564144134521
44,0.8943093419075012,0.3628159165382385,0.0005,0.785571813583374,1.200406551361084
45,0.8978472948074341,0.35341474413871765,0.0005,0.8035239577293396,1.1362569332122803
46,0.9000731110572815,0.3382008671760559,0.0005,0.79507976770401,1.1920678615570068
47,0.9028303623199463,0.32770928740501404,0.0005,0.8013297915458679,1.1700241565704346
48,0.9045578241348267,0.3194851577281952,0.0005,0.8162233829498291,1.0232120752334595
49,0.9071158170700073,0.3111361563205719,0.0005,0.7852393388748169,1.3009259700775146
50,0.9076473116874695,0.30789715051651,0.0005,0.7979388236999512,1.227037787437439
51,0.911218523979187,0.2967083752155304,0.0005,0.7990026473999023,1.2680602073669434
52,0.9142415523529053,0.2855275869369507,0.0005,0.8022606372833252,1.2457278966903687
53,0.9156202077865601,0.2794654369354248,0.0005,0.7946143746376038,1.31149423122406
54,0.9166666865348816,0.2752302587032318,0.0005,0.7878989577293396,1.3553775548934937
55,0.9192246198654175,0.26782047748565674,0.0005,0.7834441661834717,1.5650426149368286
56,0.91965651512146,0.26312994956970215,0.0005,0.7741356492042542,1.4708197116851807
57,0.9210517406463623,0.26089388132095337,0.0005,0.7821808457374573,1.3504621982574463
58,0.9234934449195862,0.2512478530406952,0.0005,0.8024601340293884,1.1986899375915527
59,0.9375124573707581,0.2056349813938141,0.00025,0.8169547915458679,1.2455229759216309
60,0.9433259963989258,0.18614663183689117,0.00025,0.817686140537262,1.2729099988937378
61,0.9465152025222778,0.1757773458957672,0.00025,0.8066489100456238,1.3907842636108398
62,0.9460168480873108,0.17375393211841583,0.00025,0.8196808695793152,1.2943329811096191
63,0.9483256936073303,0.1670471876859665,0.00025,0.8180851340293884,1.294033408164978
